evidence_id,evidence_type,status,created_date,decision_or_gate,artifact_reference,restricted_reference,verification_reference,notes
EVD-2026-001,repository_baseline,requires_refresh,2026-07-24,DEC-2026-001,reviewed publication repository,not_applicable,strict-history scan from final fresh clone required,No development Git history may be reused.
EVD-2026-002,restricted_root_preflight,complete_historic,2026-07-24,G0b,preflight script and restricted record,restricted governance record,preflight validates path and ACL only,Historic preflight record retained for chronology; current execution evidence is recorded in EVD-2026-017.
EVD-2026-003,source_freeze,complete_historic,2026-07-24,G1b,source register and header manifest,restricted immutable provenance,manifest lineage,Historic source-freeze record retained for chronology; v0.4 requires restricted compatibility confirmation before reuse and no source bytes or hashes are tracked here.
EVD-2026-004,controlled_metadata,requires_refresh,2026-07-25,G0a-G2,item specification codebooks transformation rules and analysis specification,not_applicable,fresh-clone synthetic transformation and lineage tests,The v0.4 metadata and controlled derivations require current source and clean-clone verification before restricted use.
EVD-2026-005,restricted_structured_run,complete_historic,2026-07-24,G2,results inventory,restricted manifests and internal outputs,manifest hash checks,Historic restricted evidence retained for chronology; it cannot serve as the v0.4 result lineage.
EVD-2026-006,qualitative_template,complete_current,2026-07-24,G3b,qualitative protocol and scripts,restricted workspace template,hash-only snapshot command,No coding has been performed by automation.
EVD-2026-007,release_controls,requires_refresh,2026-07-25,DEC-2026-010 DEC-2026-013 and DEC-2026-014,release policy checklist and scripts,restricted candidate and attestation records,fresh-clone release-control tests and full-chain lineage guard,The v0.4 source controls require current verification and one new candidate; historic candidate evidence remains restricted audit context.
EVD-2026-008,clean_clone_verification,complete_historic,2026-07-24,G0a and G6,prior isolated-clone verification,not_applicable,bootstrap strict privacy scan and synthetic suite,Historic verification does not establish the current baseline or final handoff.
EVD-2026-009,repository_navigation_update,complete_historic,2026-07-24,DEC-2026-012,documentation index and analysis specification,not_applicable,synthetic suite and privacy scan,Historic navigation update; its then-required new lineage was completed and is recorded in EVD-2026-017.
EVD-2026-010,current_baseline_verification,complete_historic,2026-07-25,G0a,commit d58a75d7c7c69f14436cc4a024cee881f72deff0,not_applicable,isolated clean-clone bootstrap strict-history privacy scan full suite manuscript preview and clean worktree,Historic executable-baseline verification; a new clean-clone check is required after the finalization package changes.
EVD-2026-011,current_baseline_verification,complete_historic,2026-07-25,G0a,commit 12f4ec48e9c2b27c4e1ad96d6614b16da9a6f0e8,not_applicable,isolated fresh-clone strict-history privacy scan lockfile-matched R bootstrap full suite and clean tracked status,Historic executable-baseline verification; reverify the selected clean code-and-policy baseline before the new restricted intake.
EVD-2026-012,controlled_local_pdf_build,complete_historic,2026-07-25,G5,commit edd4598e5ab42f227df8f883e6ce95ced5a2e067 and ignored local build records,not_applicable,MiKTeX 25.12 two-pass controlled builds with source engine output and clean-commit hashes,The coauthor brief and nonnumeric manuscript preview compiled locally; they remain non-submission artifacts and do not replace final clean-clone manuscript verification.
EVD-2026-013,source_availability,complete_historic,2026-07-25,G1a,source register and respondent-free header contract,restricted source-access/handoff record,metadata-only availability and ordered-header compatibility review,Pre-current availability record retained for chronology; the current frozen lineage is recorded in EVD-2026-017 and no locator revision row count values or provenance hashes are tracked here.
EVD-2026-014,restricted_root_technical_preflight_implementation,complete_current,2026-07-25,G0a-G0b,preflight script and technical preflight evidence,restricted governance preflight record,path and ACL preflight,This records technical preflight implementation only; no current signed operating authorization is represented or implied and approval encryption backup retention incident and sharing controls remain external.
EVD-2026-015,restricted_operation_gate_implementation,complete_current,2026-07-25,DEC-2026-017,authorization-gate and source-context contract plus tests,restricted signed operating authorization and source-access context,synthetic authorization fixtures and focused gate tests,This records gate implementation only; preflight and tests cannot enable intake or another restricted operation and no current signed operating authorization is represented or implied.
EVD-2026-016,remote_baseline_verification,complete_historic,2026-07-26,G0a G6a,commit fce1fdba733e6837d65307ca8bb34c7197ea772e and technical remote record,not_applicable,GitHub Actions run 30212187441 successful; independent fresh remote clone clean with safe PDF builds,Historic public-safe technical verification; it neither verifies a restricted-source analysis nor creates a disclosure policy or authorizes release. Repeat clean-remote verification at final handoff.
EVD-2026-017,historic_restricted_structured_lineage_and_candidate,complete_historic,2026-07-27,G1b G2 G4b,source register results inventory implementation status and roadmap,restricted immutable source freeze manifests internal outputs and candidate,automated lineage hash-integrity and disclosure-control verification,The historic frozen structured lineage and disclosure-controlled candidate remain in restricted storage. v0.4 requires a new lineage, internal scientific review, then a new candidate before disclosure review attestation delivery or manuscript facts; no values identifiers hashes or paths are tracked here.
EVD-2026-018,v0_4_fresh_clone_verification,complete_current,2026-07-27,G0a,isolated clean-clone verification,not_applicable,locked-environment restore strict-history privacy scan full suite including TeX integration results-free PDF builds and clean worktree,The public-safe v0.4 baseline was verified from an isolated clone. This confirms repository reproducibility and privacy controls only; it does not run restricted data or create a result candidate.
